category,path,description,used_for,reproducible_by,notes
notebook_evidence,notebooks/FD002/modeling/02_fd002_feature_engineering_improvement.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
notebook_evidence,notebooks/FD002/modeling/03_fd002_robustness_probe.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
notebook_evidence,notebooks/FD003/modeling/22_fd003_fault_sensitive_features.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
notebook_evidence,notebooks/FD003/modeling/23_fd003_pseudo_cluster_experiments.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
notebook_evidence,notebooks/FD003/modeling/25_fd003_internal_validation_evaluation_report.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
notebook_evidence,notebooks/FD004/modeling/01_fd004_modeling_final.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
notebook_evidence,notebooks/conclusion/01_conclusion_final.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
notebook_evidence,notebooks/conclusion/02_interpretacion_fisica_operativa.ipynb,Notebook evidence for model development or final reporting.,Experimental traceability.,Not executed for final smoke test.,Outputs intentionally preserved.
physical_operational_artifact,conclusion/physical_feature_importance_by_dataset.csv,Conclusion CSV artifact: physical_feature_importance_by_dataset.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
physical_operational_artifact,conclusion/physical_feature_importance_overall.csv,Conclusion CSV artifact: physical_feature_importance_overall.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
physical_operational_artifact,conclusion/physical_importance_by_engine_area.csv,Conclusion CSV artifact: physical_importance_by_engine_area.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
physical_operational_artifact,conclusion/physical_operational_payload.json,Conclusion JSON payload: physical_operational_payload.json.,Structured final reporting metadata.,See final scripts listed in this manifest.,
physical_operational_artifact,conclusion/physical_pattern_links.csv,Conclusion CSV artifact: physical_pattern_links.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
physical_operational_artifact,conclusion/physical_perturbation_sensitivity.csv,Conclusion CSV artifact: physical_perturbation_sensitivity.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
physical_operational_artifact,conclusion/physical_sensitivity_by_engine_area.csv,Conclusion CSV artifact: physical_sensitivity_by_engine_area.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
physical_operational_artifact,conclusion/physical_sensor_dictionary.csv,Conclusion CSV artifact: physical_sensor_dictionary.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
prediction_output,predictions/final_executable/all_final_metrics.csv,Final executable prediction artifact: all_final_metrics.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/all_final_predictions.csv,Final executable prediction artifact: all_final_predictions.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/fd001_final_metrics.csv,Final executable prediction artifact: fd001_final_metrics.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/fd001_final_predictions.csv,Final executable prediction artifact: fd001_final_predictions.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/fd001_final_predictions_with_diagnostics.csv,Final executable prediction artifact: fd001_final_predictions_with_diagnostics.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/fd002_final_metrics.csv,Final executable prediction artifact: fd002_final_metrics.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/fd002_final_predictions.csv,Final executable prediction artifact: fd002_final_predictions.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/fd002_final_predictions_with_diagnostics.csv,Final executable prediction artifact: fd002_final_predictions_with_diagnostics.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/fd003_final_metrics.csv,Final executable prediction artifact: fd003_final_metrics.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/fd003_final_predictions.csv,Final executable prediction artifact: fd003_final_predictions.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/fd003_final_predictions_with_diagnostics.csv,Final executable prediction artifact: fd003_final_predictions_with_diagnostics.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/fd004_final_metrics.csv,Final executable prediction artifact: fd004_final_metrics.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/fd004_final_predictions.csv,Final executable prediction artifact: fd004_final_predictions.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
prediction_output,predictions/final_executable/fd004_final_predictions_with_diagnostics.csv,Final executable prediction artifact: fd004_final_predictions_with_diagnostics.csv.,Final predictions and optional diagnostics.,python predict_final.py --subset all --output-dir predictions/final_executable --include-diagnostics,
report_material,conclusion/final_deliverable_manifest.csv,Conclusion CSV artifact: final_deliverable_manifest.csv.,Final reporting and traceability.,See final scripts listed in this manifest.,
report_material,conclusion/final_deliverable_manifest.json,Conclusion JSON payload: final_deliverable_manifest.json.,Structured final reporting metadata.,See final scripts listed in this manifest.,
report_material,notebooks/README_final_results.md,Final delivery supporting note or index.,Report writing and traceability.,Maintained manually or generated by final scripts.,
